Rank,Ticker,Signals/W,Hitrate ±3%,Net P&L/Trade,Median Hold,24h Vol,MaxDD,Robustness,Notes
1,BEAT,18.67,50.60%,0.35%,3h,$89.42M,-28.16%,0.29,CoinGecko sparkline 7d
2,NIGHT,2.51,29.94%,-0.03%,8h,$668.63M,-47.35%,0.09,CoinGecko sparkline 7d
3,PIPPIN,1.71,23.35%,0.19%,10h,$53.01M,-24.85%,0.07,CoinGecko sparkline 7d
4,HASH,1.61,18.56%,0.14%,10h,$0.14M,-48.47%,0.07,CoinGecko sparkline 7d
5,ULTIMA,0.10,7.78%,-0.15%,42h,$14.50M,-78.44%,0.01,CoinGecko sparkline 7d
6,MERL,0.05,6.55%,0.09%,56h,$24.92M,-73.12%,0.01,CoinGecko sparkline 7d
7,MYX,0.05,7.19%,0.13%,56h,$39.39M,-82.31%,0.01,CoinGecko sparkline 7d
8,KAU,0.02,1.20%,0.02%,84h,$8.38M,-8.75%,0.0,CoinGecko sparkline 7d
9,CC,0.02,1.81%,0.02%,83h,$15.73M,-52.04%,0.0,CoinGecko sparkline 7d
10,LEO,0.02,2.38%,-0.16%,84h,$5.29M,-28.06%,0.0,CoinGecko sparkline 7d
11,TEL,0.01,2.99%,-0.17%,167h,$2.49M,-93.82%,0.0,CoinGecko sparkline 7d
12,LDO,0.01,1.20%,-0.10%,167h,$52.81M,-92.98%,0.0,CoinGecko sparkline 7d
13,AB,0.01,1.20%,0.04%,167h,$20.64M,-71.16%,0.0,CoinGecko sparkline 7d
14,OP,0.01,1.20%,-0.08%,167h,$84.50M,-94.40%,0.0,CoinGecko sparkline 7d
15,ARB,0.01,1.20%,-0.08%,167h,$150.19M,-92.34%,0.0,CoinGecko sparkline 7d
